query_id,doc_id,score
1,g7dhmyyo,2.0
1,0604jed8,0.0
1,084o1dmp,0.0
1,0b4o0ccp,0.0
1,0cvoeiy0,0.0
1,0lyxvex0,0.0
1,0v5wo0ty,1.0
1,0xhho1sh,2.0
1,105q161g,2.0
1,1bapn9w0,0.0
1,1bpc8g6n,0.0
1,1c47w4q5,1.0
1,1esupl4q,0.0
1,1eytelxn,1.0
1,1hwcp09t,0.0
1,1ldynibm,0.0
1,1ls84u6w,0.0
1,1rhy8td0,0.0
1,1s25r3o0,0.0
1,1s2zsqoq,1.0
1,1s6dlcer,1.0
1,1sq2uvur,2.0
1,1ybj2p1n,1.0
1,21fhsooy,0.0
1,22fc1qly,2.0
1,2b25p7t7,2.0
1,2ftw85xw,2.0
1,2kbi9drl,2.0
1,2l4xxu3v,2.0
1,2lk8vq03,0.0
1,2qto9vsb,0.0
1,2s7ki6g7,1.0
1,2sjsxf96,0.0
1,x4kirba0,0.0
1,2tyt8255,1.0
1,69rdlkm8,1.0
1,2wshgzjk,0.0
1,3114rz8f,1.0
1,33fs6exl,2.0
1,35k1tt3b,0.0
1,368pz09b,0.0
1,37dadupn,0.0
1,3e2soc6w,0.0
1,3lqqk9da,0.0
1,3saa7d76,0.0
1,3sacf4wu,0.0
1,3uyuwzyr,0.0
1,3we40x62,0.0
1,3x2psny9,2.0
1,405jvqyv,0.0
1,41rsi8ce,1.0
1,4ay3hsi7,0.0
1,75773gwg,2.0
1,dixdgfbe,0.0
1,db7zcdyh,0.0
1,tfz6f32q,2.0
1,4ze0mfxp,2.0
1,50xzptr1,0.0
1,51nsm10x,0.0
1,51w1fe7k,2.0
1,5217c3jn,0.0
1,5283jsnu,1.0
1,52kqp9yw,2.0
1,55loucvc,2.0
1,59492sjb,2.0
1,5ekdfers,0.0
1,5h7qyn1g,1.0
1,x8m41275,0.0
1,5lm5ttai,0.0
1,5op2m7pu,0.0
1,5pv11lfo,1.0
1,5sfojk7y,0.0
1,5yk1j4ms,1.0
1,602a2xdn,1.0
1,629fwmgk,1.0
1,66xk0qqq,1.0
1,6dbt99h0,2.0
1,6ml0puh8,1.0
1,6o8dt2bg,0.0
1,6q8afty7,0.0
1,6rpt47gm,0.0
1,6wsx0jby,1.0
1,6wu024ng,0.0
1,6yfj4co0,2.0
1,xkwx7ct9,2.0
1,74k12s1z,1.0
1,wlmu65vm,2.0
1,1etvgoxc,0.0
1,wszp2x42,0.0
1,7odpslba,0.0
1,iohvj16d,0.0
1,7zbvgvk8,0.0
1,84hxim2n,0.0
1,oj4ue0ur,2.0
1,8aj97x4n,1.0
1,8arwlhf0,2.0
1,8bw843ek,2.0
1,8d1076ge,0.0
1,8d3dym7g,0.0
1,8ejc5543,0.0
1,8f5m0gej,0.0
1,8fuj072z,1.0
1,8iyjzd28,0.0
1,8l411r1w,0.0
1,8ow952d8,2.0
1,8pkrg0mx,0.0
1,8pyjwe9x,0.0
1,8wzd4j82,0.0
1,950x4b9a,0.0
1,96zsd27n,0.0
1,97vub46z,2.0
1,99s7lzdh,0.0
1,9a475qhj,2.0
1,3qs1lz5f,2.0
1,9c09xlma,0.0
1,9dwpnvxf,1.0
1,9f5i6crg,1.0
1,9gi2yoqn,1.0
1,9jb3w0zu,1.0
1,9pl7mta8,0.0
1,roklqnvz,2.0
1,9xueqdri,1.0
1,a3groawt,1.0
1,a56u5e2o,2.0
1,a59qzsre,0.0
1,abqrh2aw,2.0
1,afek8kgr,2.0
1,aivub6mi,0.0
1,amp19v88,1.0
1,apc0lm5e,2.0
1,5epbf0dn,2.0
1,u4gc98g4,0.0
1,b2f3a8un,0.0
1,b8j2hn9w,0.0
1,kdvvgxa0,0.0
1,b9vkja80,0.0
1,bayj4dtg,0.0
1,bgdcm1i1,1.0
1,bgh729s5,2.0
1,blqzi69t,2.0
1,0vn23ive,0.0
1,bsnibsuf,0.0
1,7s7mchvm,0.0
1,c4u0gxp5,1.0
1,c7j2eoz0,0.0
1,ccxj4s6j,1.0
1,1fulte6b,0.0
1,chrj5h72,0.0
1,cks6aij2,2.0
1,cns12o35,0.0
1,code9hzz,0.0
1,cp6he5mc,1.0
1,cs8gfjp4,0.0
1,cwfujgya,0.0
1,cyp9fbw0,2.0
1,d3rrnjz2,2.0
1,d8n9711b,2.0
1,dckuhrlf,0.0
1,de0xr8wd,0.0
1,hejoxzld,0.0
1,dopa8hxy,0.0
1,dp2xzul1,2.0
1,dqour5jr,0.0
1,dqxfcwyu,0.0
1,dv9m19yk,1.0
1,dwf5vydu,0.0
1,e0b8gnh8,2.0
1,e220ut9u,1.0
1,e4sl5zaj,0.0
1,e6jt8yhs,0.0
1,e8qubwha,0.0
1,zjmrb8dh,0.0
1,edc509xr,0.0
1,eec649x4,1.0
1,efarquxn,0.0
1,efk2jj50,2.0
1,egvf8hoq,1.0
1,egzztatj,0.0
1,ei89dddm,1.0
1,eisfz30c,1.0
1,ejg393zs,0.0
1,el1vyyj9,0.0
1,6yw7o6q3,0.0
1,evutu0lx,1.0
1,ewdfqktw,1.0
1,ewdrl9ym,0.0
1,f03san07,1.0
1,f2zpapwe,0.0
1,feq8djas,0.0
1,fgxbyb7l,0.0
1,hechmemo,0.0
1,fkqohnyz,0.0
1,hwjr891o,2.0
1,fozglfc8,0.0
1,fs5rx07q,0.0
1,ft4rbcxf,1.0
1,fwdpzv85,1.0
1,wdnl2nwm,0.0
1,fybo3ltn,0.0
1,fzr8fkzb,0.0
1,g0gh28hu,0.0
1,ggw5l1qm,1.0
1,ghi0ekm5,0.0
1,giabjjnz,0.0
